DHSID,minor_roads_count,minor_roads_length,small_roads_count,small_roads_length,nocars_roads_count,nocars_roads_length,major_roads_count,major_roads_length,links_roads_count,links_roads_length,unknown_roads_count,unknown_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
PH201700000356,122.0,23204.034870923857,34.0,9310.183815896879,14.0,3005.884827730665,19.0,11831.615469487833,0.0,0.0,1.0,70.84365213118403,278054124,0.0056116582243329145,519029164,0.01950933909036808,842356336,0.030086695252722558,27034753,0.002213726001024102,859956127,0.336371482987122,616192755,0.0441100779730133,47422.56263617042,190.0,0.002213726001024102
PH201700000357,54.0,33907.12882115724,14.0,2909.9166424068494,0.0,0.0,10.0,37447.965771009316,0.0,0.0,0.0,0.0,791968020,0.000997895048598712,787341757,0.006944517790701306,541177757,0.009227765923238335,791207181,0.003908471114265534,34121877,0.0871551800930058,250479930,0.16490530950084833,74265.01123457341,78.0,0.000997895048598712
PH201700000358,1260.0,531229.2601739038,241.0,126954.50243106077,14.0,5760.092488522074,40.0,6600.033935878152,0.0,0.0,0.0,0.0,738397564,0.0002019157371415243,258229188,0.0004334744788415586,696150907,0.0030145803401421434,831303187,0.0017819477776998504,815121417,0.02267312584598515,250479930,0.0920993070146022,670543.8890293648,1555.0,0.0002019157371415243
PH201700000359,317.0,203043.6251744361,148.0,72073.31192120504,0.0,0.0,17.0,4732.326487658927,0.0,0.0,0.0,0.0,791596028,0.0003820192632298167,788834444,0.0015823563309447302,75065941,0.02198294015933276,56339928,0.0012915627522820299,789847800,0.0673723960293921,247375455,0.05785475793431897,279849.2635833001,482.0,0.0003820192632298167
PH201700000360,4924.0,2095638.6937400072,1577.0,715472.548285028,169.0,47408.846168132855,353.0,126150.04888601883,37.0,7984.3208218795035,0.0,0.0,242172933,0.00039224311185496986,788444341,0.0001821060257346483,677786636,0.002046338636188213,53309826,0.00021538320415566908,53748435,0.006171742202987454,250479930,0.11556752164146072,2992654.4579010666,7060.0,0.0001821060257346483
PH201700000361,614.0,356272.1873203087,241.0,56809.369942272584,4.0,831.513118899017,7.0,2547.3915839388346,0.0,0.0,0.0,0.0,791608892,0.00023591542568964896,788489213,0.00023591542568964896,729542018,0.008832912559277251,738906730,0.005804033887551805,815121417,0.04765663407694508,250479930,0.06105831167149582,416460.4619654192,866.0,0.00023591542568964896
PH201700000362,1339.0,595899.5379531184,253.0,130585.60264740748,8.0,2257.7618888290226,43.0,10563.72349208264,0.0,0.0,0.0,0.0,788429551,0.0001497568180775747,795536582,0.0003257526406997377,814867258,0.0014004834350814853,248713426,0.0007198389960902854,789761917,0.02622396152317437,250479930,0.10357235048141099,739306.6259814376,1643.0,0.0001497568180775747
PH201700000363,887.0,361379.8818330783,473.0,185703.919222184,60.0,12574.39264608516,167.0,88068.86920629314,17.0,3377.8902599327084,0.0,0.0,788368760,0.000465601319217007,788799407,0.001268261887058609,719553014,0.008566170650846455,54233874,0.00042104750754445066,788906344,0.013923135176650373,250479930,0.12275183350428806,651104.9531675733,1604.0,0.00042104750754445066
PH201700000364,442.0,157648.60321226824,155.0,87942.85146072232,5.0,698.1516565916776,19.0,3642.6650577851433,0.0,0.0,0.0,0.0,791680145,0.0006699039332523448,791680136,0.0013946903200173085,719553015,0.003176096238287662,539501354,0.007230556603662726,788459166,0.03741220446901824,250479930,0.1459679882746268,249932.27138736736,621.0,0.0006699039332523448
PH201700000365,962.0,430159.473869075,142.0,85397.79745257614,0.0,0.0,17.0,4459.810036126612,0.0,0.0,0.0,0.0,789833303,0.000454027744861488,787402457,0.002610244494588687,674526776,0.009222672569872765,830274212,0.000454027744861488,788459166,0.04777010739672752,250479930,0.08592598689797944,520017.0813577778,1121.0,0.000454027744861488
PH201700000366,494.0,207653.29841947966,190.0,68344.45258538997,1.0,113.19633137123375,6.0,2487.6252510813583,0.0,0.0,0.0,0.0,791262142,0.0005606778360606356,788828960,0.0006320879182158892,269166726,0.002427135576350011,53591607,0.005206779473387255,815121417,0.045887807188273344,250479930,0.07094412109609988,278598.57258732227,691.0,0.0005606778360606356
PH201700000367,1141.0,529480.8830692559,284.0,138467.4205524144,17.0,8447.40499663035,26.0,3602.2999479509876,1.0,327.42376142340686,0.0,0.0,258227952,0.00024143892663159623,258228014,0.00035204533388806487,728943762,0.0017243004195934353,738906722,0.003098738900314149,815121417,0.017132195797645494,250479930,0.09245767294568683,680325.432327675,1469.0,0.00024143892663159623
PH201700000368,1191.0,495671.30382611224,377.0,174772.2522390754,62.0,10366.238862512178,126.0,66913.15229096796,21.0,4172.199816734556,0.0,0.0,512311968,0.0003163886962366748,512311964,0.0014321506622104675,218689605,0.0028228024851541327,513353833,0.0003634037850460762,787363070,0.013090386718544676,250479930,0.11771428006926271,751895.1470354024,1777.0,0.0003163886962366748
PH201700000369,5309.0,2333307.5733355023,1740.0,728320.2043859808,142.0,40212.5054212691,296.0,115111.0508191217,17.0,3152.4237051743,0.0,0.0,242181737,0.00033174866303612517,788460449,0.0007463475529681177,219494408,0.011119059548210816,788802427,0.005302713321323661,53748435,0.02907377963679695,250479930,0.08838479261863172,3220103.7576670484,7504.0,0.00033174866303612517
PH201700000370,1115.0,440912.11728310626,291.0,111724.36829999306,29.0,4315.593679182834,88.0,23341.107508363297,0.0,0.0,0.0,0.0,98464597,7.296137486757338e-05,789748257,0.001686616366631852,727015405,0.007322679170936252,158672439,0.0012030897848846612,53748435,0.018339365862106948,250479930,0.10385945908457096,580293.1867706454,1523.0,7.296137486757338e-05
PH201700000371,294.0,186448.0413206555,215.0,70108.63502133108,2.0,102.68646413142535,4.0,1496.1765630405387,0.0,0.0,0.0,0.0,882062417,0.00013243836883941807,365629427,0.0005574938140375194,539934661,0.0027266751419979937,871512652,0.0005574938140375194,815121417,0.069007237160138,250479930,0.04728879376722111,258155.53936915853,515.0,0.00013243836883941807
PH201700000372,1115.0,451952.98771449685,265.0,180642.9594264289,16.0,11006.823658461875,33.0,6944.109782060197,3.0,2097.767871210806,0.0,0.0,516261913,0.0012336322662919376,788418971,0.0007661926856393674,640526024,0.0031457297025459766,54233874,0.001097766903031076,788459166,0.01635498962345718,250479930,0.11744926741648466,652644.6484526587,1432.0,0.0007661926856393674
PH201700000373,490.0,213554.61872319513,358.0,146110.4003681587,50.0,10659.41824817063,122.0,38251.06836949135,2.0,339.1484211486766,0.0,0.0,728997036,0.0002845532534395132,728953878,0.003944945521952956,389708898,0.0015965557204224994,539501349,0.00432185671474833,789761917,0.01785212437691587,250479930,0.1354236210736631,408914.65413016453,1022.0,0.0002845532534395132
PH201700000799,913.0,376885.0423344832,186.0,54340.37389044099,826.0,302413.82829352847,77.0,66353.73715172094,1.0,274.1691459129488,1.0,246.07293985152188,768299940,9.83882204686655e-05,768300507,0.001925756486687096,450924139,0.003115987459681608,550903149,0.0005337057323414199,639052558,0.02230595247893213,653678747,0.018287472667866383,800513.223755938,2004.0,9.83882204686655e-05
PH201700000800,1511.0,639277.62842436,408.0,112951.62020014862,113.0,30888.417423178427,105.0,42503.25149415862,0.0,0.0,0.0,0.0,246791927,0.0007206432989431331,246773372,0.0023601347818915596,246796441,0.006281564056973367,337398363,0.0021739976903286523,639052558,0.04832749175982632,653678747,0.052842478092994305,825620.9175418457,2137.0,0.0007206432989431331
PH201700000801,79.0,44698.98434488215,38.0,18966.865337038187,27.0,7210.33221336225,21.0,3193.901400805971,0.0,0.0,0.0,0.0,367123949,0.0012750391736398839,651850279,0.004845873551729664,805318337,0.01895504901200175,367123955,0.017132888503865528,513644942,0.19455727517531413,272052494,0.056742724474567574,74070.08329608856,165.0,0.0012750391736398839
PH201700000802,785.0,365854.46356232755,239.0,72999.22992807049,53.0,15682.984937615318,72.0,38976.14507076351,1.0,581.7185482740018,0.0,0.0,824018084,0.0005411679823125169,824002638,0.0024768646868605975,566152609,0.014133247371621202,337398342,0.005164939802935241,826795321,0.030163205033706387,653678747,0.07925440400279396,494094.5420470509,1150.0,0.0005411679823125169
PH201700000803,473.0,153782.28058611788,83.0,35566.82249659191,64.0,16370.86954068814,44.0,11774.031633881748,0.0,0.0,1.0,346.9005827299234,853227262,0.002236101776460887,875665630,0.009911688815781309,857999652,0.0010116598935612294,356406586,0.0025064469774164024,826795321,0.14931784722040253,369590729,0.031896646308639656,217840.90484000958,665.0,0.0010116598935612294
PH201700000804,77.0,33024.98236400176,28.0,10803.94221991593,5.0,2804.2507351943896,31.0,15025.506684088066,0.0,0.0,0.0,0.0,407841059,0.0006748851385002063,677168488,0.005120542860850972,367109590,0.016307631677885022,367109591,0.016400094470761205,857989275,0.08370066636632158,886816964,0.07960767868523287,61658.68200320015,141.0,0.0006748851385002063
PH201700000805,1213.0,471903.23110576044,325.0,89121.93383122471,166.0,58934.95018632736,86.0,30392.00066206594,0.0,0.0,0.0,0.0,245271320,0.00025321538312550706,823687462,0.0015143696365937111,301448145,0.007119488799592582,245271353,0.000721679226992568,639052558,0.05351885801721371,653678747,0.04839560492860244,650352.1157853784,1790.0,0.00025321538312550706
PH201700000806,119.0,45759.76543640748,28.0,13900.154155971883,38.0,30256.613444189763,35.0,12725.408797549226,0.0,0.0,4.0,728.3022346177052,878144824,0.002916407036499043,878144825,0.007622264360463333,539418164,0.02470007706818015,278224233,0.0011731655710486707,513644942,0.05404440648377527,808723234,0.02804414006943653,103370.24406873605,224.0,0.0011731655710486707
PH201700000807,36.0,9084.778004864052,87.0,29279.451315886923,83.0,66283.4820776357,16.0,2321.766354752027,0.0,0.0,4.0,590.4550467295117,27187195,3.267105165605876e-05,4277252,0.000691592125331186,4277255,0.0003404653914893523,4279216,0.001721494934485704,232343005,0.16389380765544925,501596179,0.00705219905667396,107559.9327998682,226.0,3.267105165605876e-05
PH201700000808,115.0,49000.28778140069,24.0,11943.83583123391,52.0,32949.22592291118,22.0,10370.477405496791,0.0,0.0,3.0,627.7214463960091,541030131,0.0007299992035517849,824392217,0.005083289291702496,810662813,0.0068483926821297095,106747381,0.0011028412144518378,513644942,0.10501412113092796,808723234,0.04708676611341591,104891.54838743858,216.0,0.0007299992035517849
PH201700000809,290.0,98688.50572502884,72.0,17687.089362812265,30.0,5543.537970024262,47.0,11992.969707168057,0.0,0.0,1.0,346.9005827299234,781672982,0.002420899858869862,781672981,0.0008840642036157332,886090292,0.005112767233775975,301278980,0.003026422333227543,826795321,0.11795381675930446,369590729,0.031160976484134902,134259.00334776336,440.0,0.0008840642036157332
