DHSID,air_transport_count,ground_transport_count,water_transport_count,all_transport_count
PH201700000904,16.0,6.0,1.0,23.0
PH201700000905,0.0,1.0,1.0,2.0
PH201700000906,0.0,2.0,0.0,2.0
PH201700000907,0.0,1.0,0.0,1.0
PH201700000908,0.0,2.0,0.0,2.0
PH201700000909,0.0,2.0,2.0,4.0
PH201700000910,0.0,0.0,0.0,0.0
PH201700000911,0.0,0.0,0.0,0.0
PH201700000912,0.0,2.0,0.0,2.0
PH201700000913,1.0,2.0,2.0,5.0
PH201700000914,0.0,0.0,0.0,0.0
PH201700000915,0.0,0.0,2.0,2.0
PH201700000916,1.0,1.0,2.0,4.0
PH201700000917,1.0,0.0,0.0,1.0
PH201700000918,0.0,0.0,0.0,0.0
PH201700000919,0.0,0.0,0.0,0.0
PH201700000920,0.0,0.0,0.0,0.0
PH201700000921,0.0,1.0,2.0,3.0
PH201700000922,0.0,0.0,0.0,0.0
PH201700000923,1.0,1.0,2.0,4.0
PH201700000924,0.0,0.0,2.0,2.0
PH201700000925,0.0,0.0,0.0,0.0
PH201700000926,0.0,0.0,0.0,0.0
PH201700000927,0.0,2.0,0.0,2.0
PH201700000928,0.0,2.0,0.0,2.0
PH201700000929,0.0,0.0,0.0,0.0
PH201700000930,0.0,0.0,0.0,0.0
PH201700000931,0.0,0.0,0.0,0.0
PH201700000932,0.0,0.0,0.0,0.0
PH201700000933,0.0,0.0,0.0,0.0
PH201700000934,0.0,0.0,0.0,0.0
PH201700000935,0.0,0.0,0.0,0.0
PH201700000936,0.0,0.0,0.0,0.0
PH201700000937,0.0,0.0,0.0,0.0
PH201700000938,0.0,0.0,0.0,0.0
PH201700000939,0.0,0.0,0.0,0.0
PH201700000940,0.0,0.0,0.0,0.0
PH201700000941,0.0,0.0,0.0,0.0
PH201700000942,1.0,0.0,0.0,1.0
PH201700000943,0.0,0.0,0.0,0.0
PH201700000944,0.0,0.0,0.0,0.0
PH201700000945,0.0,0.0,0.0,0.0
PH201700000946,0.0,1.0,0.0,1.0
PH201700000947,0.0,9.0,0.0,9.0
PH201700000948,0.0,0.0,0.0,0.0
PH201700000949,3.0,3.0,0.0,6.0
PH201700000950,0.0,0.0,0.0,0.0
PH201700000951,2.0,15.0,2.0,19.0
PH201700000952,0.0,0.0,0.0,0.0
PH201700000953,0.0,11.0,1.0,12.0
PH201700000954,2.0,14.0,2.0,18.0
PH201700000955,0.0,2.0,0.0,2.0
PH201700000956,2.0,15.0,2.0,19.0
PH201700000957,0.0,1.0,0.0,1.0
PH201700000958,2.0,13.0,2.0,17.0
PH201700000959,0.0,0.0,0.0,0.0
