DHSID,ground_transport_count,water_transport_count,air_transport_count,all_transport_count
PK201700000337,0.0,0.0,5.0,5.0
PK201700000338,0.0,0.0,0.0,0.0
PK201700000339,0.0,0.0,0.0,0.0
PK201700000340,0.0,0.0,0.0,0.0
PK201700000341,0.0,0.0,0.0,0.0
PK201700000342,0.0,0.0,0.0,0.0
PK201700000343,1.0,0.0,0.0,1.0
PK201700000344,0.0,0.0,0.0,0.0
PK201700000346,0.0,0.0,0.0,0.0
PK201700000347,0.0,0.0,0.0,0.0
PK201700000348,0.0,0.0,0.0,0.0
PK201700000349,0.0,0.0,0.0,0.0
PK201700000350,0.0,0.0,0.0,0.0
PK201700000351,0.0,0.0,0.0,0.0
PK201700000352,0.0,0.0,0.0,0.0
PK201700000353,0.0,0.0,0.0,0.0
PK201700000354,0.0,0.0,0.0,0.0
PK201700000355,0.0,0.0,0.0,0.0
PK201700000356,0.0,0.0,0.0,0.0
PK201700000357,0.0,0.0,0.0,0.0
PK201700000358,0.0,0.0,0.0,0.0
PK201700000359,0.0,0.0,0.0,0.0
PK201700000360,0.0,0.0,0.0,0.0
PK201700000361,0.0,0.0,0.0,0.0
PK201700000362,0.0,0.0,0.0,0.0
PK201700000363,0.0,0.0,0.0,0.0
PK201700000364,0.0,0.0,0.0,0.0
PK201700000365,0.0,0.0,0.0,0.0
PK201700000366,0.0,0.0,0.0,0.0
PK201700000367,0.0,0.0,0.0,0.0
PK201700000368,0.0,0.0,0.0,0.0
PK201700000369,1.0,0.0,0.0,1.0
PK201700000370,0.0,0.0,0.0,0.0
PK201700000371,0.0,0.0,0.0,0.0
PK201700000372,0.0,0.0,0.0,0.0
PK201700000373,0.0,0.0,0.0,0.0
PK201700000374,0.0,0.0,0.0,0.0
PK201700000375,0.0,0.0,0.0,0.0
PK201700000376,0.0,0.0,0.0,0.0
PK201700000377,0.0,0.0,0.0,0.0
PK201700000378,0.0,0.0,0.0,0.0
PK201700000379,0.0,0.0,0.0,0.0
PK201700000380,0.0,0.0,0.0,0.0
PK201700000381,0.0,0.0,0.0,0.0
PK201700000382,0.0,0.0,0.0,0.0
PK201700000383,0.0,0.0,0.0,0.0
PK201700000384,1.0,0.0,0.0,1.0
PK201700000387,0.0,0.0,0.0,0.0
PK201700000388,0.0,0.0,0.0,0.0
PK201700000389,0.0,0.0,0.0,0.0
PK201700000390,0.0,0.0,0.0,0.0
PK201700000391,0.0,0.0,0.0,0.0
PK201700000392,0.0,0.0,0.0,0.0
PK201700000393,0.0,0.0,0.0,0.0
PK201700000394,0.0,0.0,0.0,0.0
PK201700000395,1.0,0.0,4.0,5.0
PK201700000396,0.0,0.0,0.0,0.0
PK201700000397,0.0,0.0,0.0,0.0
PK201700000398,0.0,0.0,0.0,0.0
PK201700000399,0.0,0.0,0.0,0.0
