DHSID,minor_roads_count,minor_roads_length,nocars_roads_count,nocars_roads_length,small_roads_count,small_roads_length,major_roads_count,major_roads_length,links_roads_count,links_roads_length,unknown_roads_count,unknown_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
TG201300000039,669.0,365719.32719024643,436.0,216958.76024395123,94.0,31541.808508504706,16.0,11660.747282050625,1.0,1088.3911072948322,0.0,0.0,183216386,0.0008268906651925978,460115434,0.01965845037834126,460115419,0.01912752547362609,54771704,0.01869978533705166,667265648,0.08899556490149668,410309485,0.23670585468494892,626969.0343320479,1216.0,0.0008268906651925978
TG201300000040,8.0,1692.3763506648756,0.0,0.0,2.0,343.7966462995239,2.0,513.5083313909472,0.0,0.0,0.0,0.0,513247406,1.3720395322604397,372171552,1.4687665188535086,511443805,1.3837831421367226,171809806,1.4516198422483704,685773665,1.836039406759288,873262814,2.196040326673808,2549.6813283553465,12.0,1.3720395322604397
TG201300000041,3755.0,1407453.6411280879,1090.0,308809.80976894154,218.0,552317.4263853114,150.0,333335.9703753891,17.0,86346.73864844804,0.0,0.0,246412420,1.6653177726548387,460034143,1.6717874644523512,1008778873,1.671131141370555,447746188,1.6403546723351194,976237867,1.7858733494068049,930159554,2.356352346513747,2688263.586306178,5230.0,1.6403546723351194
TG201300000042,68.0,14139.495964162545,0.0,0.0,22.0,9380.704098476492,4.0,2319.878315808035,0.0,0.0,0.0,0.0,220462326,1.4430374627392781,460034143,1.4714074631743694,1008778873,1.4647655745155959,447746188,1.4143686267335063,644490866,1.7824749527532442,873262814,2.1434830122643764,25840.07837844707,94.0,1.4143686267335063
TG201300000043,141.0,87538.33795745372,86.0,19868.88694128018,42.0,10019.986861355655,8.0,22705.160338620444,0.0,0.0,0.0,0.0,372155933,0.4257619600351932,372171552,0.47137524310226964,898440169,0.5877589349259401,171809806,0.41381757973286426,690365460,1.1021617879823664,410309485,1.6861802298772326,140132.37209871,277.0,0.41381757973286426
TG201300000044,1366.0,594839.7919373875,242.0,92772.1943641009,70.0,246001.88716905826,71.0,110458.49218825893,10.0,59700.56554540104,0.0,0.0,904459727,0.019312308859239635,402088207,0.011716487601822902,402003126,0.011511129147028397,201112075,0.015054014318490967,685773665,0.24296480203498413,873262814,0.6083864411764135,1103772.9312042065,1759.0,0.011511129147028397
TG201300000045,1394.0,570362.2345468728,64.0,22745.766652430586,6.0,1181.0694377023535,108.0,273380.70448403264,2.0,26036.199639323422,0.0,0.0,316562418,0.049546376113624474,930318791,0.11460232218900725,936850655,0.056948047176360775,406746251,0.10850808319312821,680278737,0.194506781811158,873262814,0.3249461686319643,893705.9747603617,1574.0,0.049546376113624474
TG201300000046,763.0,558659.6455505125,209.0,80378.96382025021,62.0,44098.30024739354,25.0,34696.109616028676,0.0,0.0,0.0,0.0,246412420,1.4072781164423926,460034143,1.4168286222397246,1008778873,1.4122585935490686,447746188,1.3686186234319266,644490866,1.7585294039559496,873262814,2.1320206231455194,717833.019234185,1059.0,1.3686186234319266
TG201300000047,68.0,45272.668681271236,50.0,51300.39663336039,180.0,48424.99657150442,4.0,1617.6157609532418,0.0,0.0,0.0,0.0,372155949,0.9416090152095725,372171552,0.9851195222789227,436909294,1.1045201029807776,171809806,0.9559932183984221,685773665,1.6172322351762354,410309485,2.2159795398779756,146615.6776470893,302.0,0.9416090152095725
TG201300000048,6.0,774.6665428924222,0.0,0.0,7.0,1146.7106451403763,2.0,14365.706603010552,0.0,0.0,0.0,0.0,513247406,0.7883363231857311,917519956,0.9257526099984341,511443805,0.8136125472271623,185503759,0.9464005857187312,685773665,1.1868403912092076,873262814,1.5982915427102735,16287.083791043351,15.0,0.7883363231857311
