DHSID,water_transport_count,air_transport_count,ground_transport_count,all_transport_count
KE201400000358,0.0,0.0,0.0,0.0
KE201400000359,0.0,0.0,0.0,0.0
KE201400000360,0.0,0.0,0.0,0.0
KE201400000361,0.0,0.0,0.0,0.0
KE201400000362,0.0,0.0,0.0,0.0
KE201400000363,0.0,1.0,0.0,1.0
KE201400000364,0.0,0.0,0.0,0.0
KE201400000365,0.0,0.0,0.0,0.0
KE201400000366,0.0,1.0,0.0,1.0
KE201400000367,1.0,1.0,0.0,2.0
KE201400000368,1.0,1.0,0.0,2.0
KE201400000369,1.0,0.0,0.0,1.0
KE201400000370,1.0,2.0,0.0,3.0
KE201400000371,0.0,0.0,0.0,0.0
KE201400000372,1.0,0.0,0.0,1.0
KE201400000373,1.0,2.0,0.0,3.0
KE201400000374,1.0,1.0,0.0,2.0
KE201400000375,1.0,1.0,0.0,2.0
KE201400000376,1.0,2.0,0.0,3.0
KE201400000377,1.0,2.0,0.0,3.0
KE201400000378,0.0,0.0,0.0,0.0
KE201400000379,2.0,2.0,0.0,4.0
KE201400000380,0.0,0.0,0.0,0.0
KE201400000381,1.0,1.0,0.0,2.0
KE201400000382,0.0,0.0,0.0,0.0
KE201400000383,0.0,0.0,1.0,1.0
KE201400000384,0.0,0.0,0.0,0.0
KE201400000385,0.0,0.0,0.0,0.0
KE201400000386,0.0,0.0,0.0,0.0
KE201400000387,0.0,0.0,0.0,0.0
KE201400000388,0.0,2.0,0.0,2.0
KE201400000389,0.0,0.0,0.0,0.0
KE201400000390,0.0,0.0,0.0,0.0
KE201400000391,0.0,0.0,1.0,1.0
KE201400000392,0.0,1.0,0.0,1.0
KE201400000393,0.0,0.0,0.0,0.0
KE201400000394,0.0,0.0,0.0,0.0
KE201400000395,0.0,0.0,0.0,0.0
KE201400000396,0.0,0.0,0.0,0.0
KE201400000397,0.0,0.0,0.0,0.0
KE201400000398,0.0,0.0,0.0,0.0
KE201400000399,0.0,0.0,0.0,0.0
KE201400000400,0.0,0.0,2.0,2.0
KE201400000401,0.0,0.0,0.0,0.0
KE201400000402,0.0,3.0,5.0,8.0
KE201400000403,0.0,2.0,5.0,7.0
KE201400000404,0.0,0.0,4.0,4.0
KE201400000405,0.0,0.0,0.0,0.0
KE201400000406,0.0,0.0,3.0,3.0
