DHSID,minor_roads_count,minor_roads_length,nocars_roads_count,nocars_roads_length,small_roads_count,small_roads_length,major_roads_count,major_roads_length,unknown_roads_count,unknown_roads_length,links_roads_count,links_roads_length,minor_roads_nearest-osmid,minor_roads_nearestdist,nocars_roads_nearest-osmid,nocars_roads_nearestdist,small_roads_nearest-osmid,small_roads_nearestdist,major_roads_nearest-osmid,major_roads_nearestdist,unknown_roads_nearest-osmid,unknown_roads_nearestdist,links_roads_nearest-osmid,links_roads_nearestdist,all_roads_length,all_roads_count,all_roads_nearestdist
BD201800000365,69.0,28573.465286594655,3.0,661.300230064573,0.0,0.0,26.0,12417.134230434829,2.0,561.149575385212,0.0,0.0,525387555,0.24404630950855458,792369785,0.27876635192854443,772238747,0.22389900929126613,530566118,0.27923771581182705,531581656,0.32035666342866426,653936558,0.7257425128671017,42213.04932247927,100.0,0.22389900929126613
BD201800000366,17.0,2179.812072631059,0.0,0.0,0.0,0.0,17.0,17240.340664248455,0.0,0.0,0.0,0.0,469342598,0.12861767746954367,838615227,0.08570014388620097,669413488,0.19135695566579602,615742982,0.005615466785431549,173334977,0.23876861352293396,101865827,0.6180032149057195,19420.152736879514,34.0,0.005615466785431549
BD201800000367,38.0,22646.492813759854,0.0,0.0,0.0,0.0,10.0,4713.763481600291,0.0,0.0,0.0,0.0,546924326,0.0176649451726187,152234340,0.0383587190776537,549642500,0.023987184625495102,549642492,0.001317766370730603,584100095,0.06591450748391403,731843846,0.23376729048681832,27360.256295360145,48.0,0.001317766370730603
BD201800000368,16.0,10314.453642629143,3.0,553.5578194788723,4.0,2127.5627872802993,9.0,3434.9367933579424,0.0,0.0,0.0,0.0,717140890,0.009519205582923415,717090086,0.0015355520497746505,715651650,0.05556274366874775,715636237,0.08965245479120755,791120036,0.13953829596176767,653936558,0.7308781441109863,16430.511042746257,32.0,0.0015355520497746505
BD201800000369,185.0,70326.90617377083,1.0,25.86851427274707,1.0,44.6340637533129,19.0,33677.646903433335,0.0,0.0,0.0,0.0,165022259,0.5948131244145756,712233950,0.654236685270033,465585637,0.6180971712394931,327665434,0.5841683203514132,529367965,0.9616279655350065,311197624,0.7928946515025613,104075.05565523022,206.0,0.5841683203514132
BD201800000370,47.0,12880.59093669183,4.0,11105.226838905992,26.0,14213.076391059267,10.0,6679.699538244464,0.0,0.0,0.0,0.0,564516257,0.0002619626537172132,837919682,0.020614234480196846,564516311,0.009882676032255346,363514304,0.003704430558837336,524371117,0.0479773888300138,523262002,0.14115239601174312,44878.593704901556,87.0,0.0002619626537172132
BD201800000371,30.0,8271.97070881966,0.0,0.0,0.0,0.0,24.0,26898.44480828327,0.0,0.0,0.0,0.0,530566510,0.16909794110228782,158471679,0.16971548258581332,525387557,0.1695235074541661,233509287,0.16962053873606486,533403627,0.1909197879777986,653936558,0.7235271682035719,35170.41551710293,54.0,0.16909794110228782
BD201800000372,18.0,15379.60483279886,0.0,0.0,0.0,0.0,6.0,1392.0078378853143,0.0,0.0,0.0,0.0,556194123,0.007069795367161731,839653426,0.04117670949490348,556194819,0.02519984889844163,278777404,0.002769556410470495,537606287,0.05422889373115283,667331491,0.026001561638239478,16771.612670684175,24.0,0.002769556410470495
BD201800000373,35.0,18708.278171329053,0.0,0.0,5.0,811.6694621470291,13.0,2955.308329763612,0.0,0.0,0.0,0.0,528739142,0.07066568398607202,528751409,0.07232556771973564,244868751,0.07069533301816058,244868742,0.07059466756598551,533403627,0.21034958570965442,653936558,0.7981973635159542,22475.255963239695,53.0,0.07059466756598551
BD201800000374,94.0,44261.614382517655,26.0,16682.361990109257,13.0,6059.5837592082735,33.0,7367.8406119224765,1.0,83.12593937361466,2.0,1043.5636936488481,656127676,0.00222338997139533,701281869,0.011094131747983904,721125124,0.01146378569787913,468585828,0.0035409999293409453,679199065,0.029218796762302948,559810055,0.1867099274829696,75498.09037678012,169.0,0.00222338997139533
