DHSID,lodging_pois_count,other_pois_count,food_pois_count,services_pois_count,entertainment_pois_count,landmark_pois_count,education_pois_count,health_pois_count,retail_pois_count,all_pois_count
BD201800000316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000317,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
BD201800000318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000319,0.0,0.0,2.0,1.0,4.0,0.0,8.0,0.0,8.0,23.0
BD201800000320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000322,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0
BD201800000323,0.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,8.0
BD201800000324,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,7.0
BD201800000325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000326,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
BD201800000327,1.0,0.0,0.0,9.0,0.0,1.0,20.0,2.0,1.0,34.0
BD201800000328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BD201800000329,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
BD201800000330,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,8.0
BD201800000331,0.0,0.0,2.0,10.0,1.0,0.0,1.0,4.0,8.0,26.0
BD201800000332,7.0,0.0,32.0,73.0,21.0,1.0,18.0,3.0,56.0,211.0
BD201800000333,6.0,0.0,20.0,24.0,7.0,0.0,11.0,1.0,11.0,80.0
BD201800000334,5.0,0.0,2.0,12.0,1.0,0.0,1.0,0.0,3.0,24.0
BD201800000335,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
BD201800000336,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
BD201800000337,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,6.0
BD201800000338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000339,8.0,0.0,11.0,19.0,6.0,2.0,3.0,6.0,8.0,63.0
BD201800000340,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,10.0
BD201800000341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BD201800000342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
BD201800000343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000344,0.0,0.0,0.0,2.0,3.0,0.0,0.0,5.0,1.0,11.0
BD201800000345,0.0,0.0,5.0,13.0,10.0,3.0,24.0,14.0,3.0,72.0
BD201800000346,0.0,0.0,2.0,11.0,21.0,4.0,31.0,4.0,4.0,77.0
BD201800000347,0.0,0.0,3.0,7.0,21.0,4.0,15.0,5.0,3.0,58.0
BD201800000348,2.0,0.0,3.0,17.0,29.0,4.0,21.0,6.0,5.0,87.0
BD201800000349,15.0,1.0,20.0,40.0,28.0,14.0,14.0,27.0,15.0,174.0
BD201800000350,10.0,2.0,13.0,24.0,6.0,2.0,15.0,23.0,21.0,116.0
BD201800000351,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,10.0
BD201800000352,16.0,0.0,15.0,26.0,21.0,4.0,14.0,21.0,7.0,124.0
BD201800000353,20.0,2.0,21.0,37.0,25.0,3.0,20.0,35.0,24.0,187.0
BD201800000354,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,5.0
BD201800000355,0.0,0.0,0.0,6.0,0.0,0.0,30.0,1.0,5.0,42.0
BD201800000356,0.0,0.0,1.0,0.0,5.0,1.0,2.0,1.0,5.0,15.0
BD201800000357,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,12.0,20.0
BD201800000358,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,8.0
BD201800000359,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BD201800000360,0.0,0.0,2.0,5.0,3.0,0.0,0.0,1.0,3.0,14.0
BD201800000361,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,10.0
BD201800000362,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
BD201800000363,0.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,6.0,16.0
BD201800000364,0.0,0.0,0.0,4.0,3.0,0.0,10.0,0.0,4.0,21.0
BD201800000365,0.0,0.0,0.0,8.0,5.0,2.0,3.0,0.0,2.0,20.0
BD201800000366,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,8.0
BD201800000367,3.0,0.0,16.0,21.0,0.0,0.0,0.0,2.0,20.0,62.0
BD201800000368,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
BD201800000369,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,5.0,12.0
BD201800000370,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,6.0
BD201800000371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000372,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0
BD201800000373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000374,1.0,0.0,3.0,12.0,11.0,2.0,16.0,1.0,21.0,67.0
BD201800000375,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,8.0
BD201800000376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BD201800000377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
BD201800000378,1.0,0.0,0.0,14.0,5.0,2.0,12.0,9.0,19.0,62.0
BD201800000379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BD201800000380,6.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,8.0,28.0
BD201800000381,3.0,0.0,3.0,0.0,1.0,0.0,7.0,0.0,8.0,22.0
BD201800000382,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
BD201800000383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
BD201800000384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000385,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,8.0,16.0
BD201800000386,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0
BD201800000387,0.0,0.0,1.0,5.0,2.0,0.0,0.0,1.0,4.0,13.0
BD201800000388,12.0,0.0,61.0,56.0,9.0,3.0,20.0,14.0,61.0,236.0
BD201800000389,0.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,4.0,12.0
BD201800000390,7.0,0.0,3.0,5.0,11.0,1.0,10.0,0.0,15.0,52.0
BD201800000391,3.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,5.0,15.0
BD201800000392,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0
BD201800000393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
BD201800000396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000397,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,6.0
BD201800000398,0.0,0.0,0.0,3.0,4.0,3.0,4.0,0.0,3.0,17.0
BD201800000399,12.0,0.0,4.0,38.0,11.0,5.0,26.0,13.0,84.0,193.0
BD201800000400,4.0,0.0,11.0,40.0,22.0,2.0,20.0,4.0,14.0,117.0
BD201800000401,4.0,0.0,12.0,39.0,22.0,2.0,21.0,4.0,14.0,118.0
BD201800000402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000403,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
BD201800000404,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,8.0
BD201800000405,2.0,0.0,6.0,8.0,2.0,0.0,4.0,1.0,8.0,31.0
BD201800000406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000407,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0
BD201800000408,3.0,0.0,11.0,29.0,6.0,0.0,6.0,4.0,20.0,79.0
BD201800000409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD201800000411,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
