DHSID,links_roads_length,major_roads_length,minor_roads_length,nocars_roads_length,small_roads_length,unknown_roads_length,all_roads_length
NG201800000096,0.0,10474.505575569672,8030.438140138367,653.1717291309039,0.0,0.0,19158.115444838942
NG201800000097,0.0,16867.822302270688,33796.805251622674,0.0,3824.6473766976533,0.0,54489.27493059102
NG201800000098,0.0,1176.885855452106,24675.19590817858,0.0,0.0,0.0,25852.081763630686
NG201800000099,0.0,10032.829402617452,19645.08818237217,988.5769925534138,22372.09466161169,0.0,53038.589239154724
NG201800000100,0.0,21178.26204006929,1617.8424898491364,0.0,0.0,0.0,22796.104529918426
NG201800000101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000102,0.0,14957.150001313772,8763.995845334864,0.0,255.8101043505208,0.0,23976.955950999156
NG201800000103,0.0,26874.658843490328,102825.22748609693,0.0,4786.396081692085,0.0,134486.28241127933
NG201800000104,0.0,21242.43763857502,166716.73845886107,592.6471151658784,2049.872134252929,0.0,190601.6953468549
NG201800000105,47.03140920694429,16469.013068725224,80801.75322062876,20550.79266273,3765.2925938126536,0.0,121633.88295510359
NG201800000106,0.0,6277.856458813632,22659.84343275992,709.4112955435339,8375.788245815225,0.0,38022.89943293231
NG201800000107,0.0,8780.785830664345,34449.19283024716,3705.46957872615,5485.507377719702,0.0,52420.95561735736
NG201800000108,0.0,10617.853144130617,37572.54630172748,12305.042181158895,0.0,0.0,60495.441627017
NG201800000109,0.0,20406.58618188301,10296.262589223636,0.0,335.8695155639906,0.0,31038.718286670635
NG201800000110,0.0,0.0,4019.134259201657,0.0,0.0,0.0,4019.134259201657
NG201800000111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000112,0.0,3148.3922439509943,3963.138412916746,0.0,0.0,0.0,7111.530656867741
NG201800000113,0.0,5131.859522098409,30254.74080308747,10398.188040013505,8650.444465721663,0.0,54435.23283092104
NG201800000114,0.0,0.0,4155.395548858188,0.0,0.0,0.0,4155.395548858188
NG201800000115,0.0,6442.573189748962,9481.027573032012,0.0,6690.3101188977225,0.0,22613.910881678697
NG201800000116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG201800000117,0.0,0.0,4163.111263842678,0.0,0.0,0.0,4163.111263842678
NG201800000118,77.33085264520926,16243.108437492723,161207.92379972368,0.0,2800.6841646863045,0.0,180329.0472545479
NG201800000119,28.315670596086637,21434.423933955848,146461.48634656583,0.0,4500.685227248968,0.0,172424.91117836672
NG201800000120,191.29887394985553,37916.64621067132,124919.69543605861,137.9891263160909,925.4365993285423,0.0,164091.06624632442
NG201800000121,373.2729706788808,41575.63917630675,103678.37930411992,139.84584633266883,7827.673960704177,0.0,153594.8112581424
NG201800000123,0.0,26831.723473896236,138168.42922138647,1179.938958145884,4749.228681234094,0.0,170929.32033466268
NG201800000124,390.8268084218886,31919.305222692197,140612.46271761027,1230.719521773865,12943.11363054032,0.0,187096.42790103852
NG201800000125,0.0,3981.802308131727,40222.449575214065,199.43791957912214,4412.988746079022,0.0,48816.67854900393
NG201800000126,0.0,5914.7040790556175,50497.13895106231,0.0,0.0,0.0,56411.84303011793
NG201800000127,0.0,6449.674123506485,11875.857253047849,0.0,0.0,0.0,18325.531376554332
NG201800000128,0.0,14519.061866619462,107954.3949214435,135.10988360791836,1960.7890654150938,0.0,124569.35573708598
NG201800000129,0.0,15541.101378569096,138178.87628701708,135.10988360791836,2663.611020995602,0.0,156518.69857018968
NG201800000130,0.0,17732.961927553188,131814.83850790915,0.0,2936.321242252448,0.0,152484.12167771478
NG201800000131,0.0,3161.699289391965,27405.28701572895,0.0,807.4032275457284,0.0,31374.389532666646
NG201800000132,0.0,8099.253133925836,20087.83819117094,0.0,0.0,0.0,28187.091325096775
NG201800000133,0.0,9612.495489377876,18612.33643942567,0.0,99.96127640028334,0.0,28324.793205203834
NG201800000134,0.0,0.0,10262.74331075845,0.0,0.0,0.0,10262.74331075845
NG201800000135,314.2010873119705,12653.90364183148,65141.318543702706,270.80874390613644,27054.617124580956,0.0,105434.84914133324
NG201800000136,0.0,10567.882620173878,60055.88152957153,36017.86002956026,46991.938631254896,0.0,153633.56281056054
NG201800000137,184.92078657822566,12359.03738661106,30217.245220385932,0.0,0.0,0.0,42761.20339357522
NG201800000138,0.0,9964.850768954679,69990.8837726678,129.73712319106866,522.0711318764374,0.0,80607.54279668999
NG201800000139,0.0,30729.185106551027,27025.525690038805,0.0,284.37085884134996,0.0,58039.08165543118
NG201800000140,0.0,41975.006415244236,268908.98485460953,135.10988360791836,7149.257989273732,0.0,318168.3591427355
NG201800000141,0.0,29168.320872282784,53529.02867019483,0.0,5345.776094379224,0.0,88043.12563685683
NG201800000142,0.0,5599.388031433,22399.811839611815,0.0,2717.6889825548706,0.0,30716.88885359969
NG201800000143,0.0,10746.641292298802,39164.37340426319,0.0,7233.4914933197015,0.0,57144.50618988169
NG201800000144,0.0,30167.97051118694,27455.804296056795,0.0,1302.5571005212946,0.0,58926.33190776503
NG201800000145,50.71956632127883,12173.528373859632,112284.09427250782,60.88306238072589,589.6382175934041,0.0,125158.86349266286
