DHSID,landmark_pois_count,other_pois_count,retail_pois_count,services_pois_count,lodging_pois_count,entertainment_pois_count,food_pois_count,health_pois_count,education_pois_count,all_pois_count
GH201400000221,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0
GH201400000222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000225,3.0,0.0,4.0,20.0,0.0,3.0,5.0,0.0,11.0,46.0
GH201400000226,0.0,0.0,0.0,2.0,1.0,5.0,1.0,1.0,2.0,12.0
GH201400000227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000228,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,1.0,8.0
GH201400000229,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,7.0
GH201400000230,0.0,0.0,2.0,5.0,1.0,2.0,0.0,1.0,6.0,17.0
GH201400000231,0.0,0.0,10.0,35.0,4.0,8.0,14.0,9.0,7.0,87.0
GH201400000232,0.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,6.0,16.0
GH201400000233,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,7.0
GH201400000234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GH201400000235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GH201400000236,0.0,0.0,4.0,47.0,3.0,18.0,4.0,2.0,8.0,86.0
GH201400000237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000238,1.0,0.0,5.0,6.0,0.0,26.0,3.0,3.0,11.0,55.0
GH201400000239,2.0,0.0,6.0,5.0,0.0,7.0,0.0,2.0,2.0,24.0
GH201400000240,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
GH201400000241,0.0,0.0,4.0,7.0,3.0,7.0,4.0,1.0,6.0,32.0
GH201400000242,0.0,0.0,3.0,8.0,0.0,2.0,1.0,1.0,4.0,19.0
GH201400000243,5.0,0.0,59.0,193.0,22.0,55.0,56.0,42.0,40.0,472.0
GH201400000244,1.0,0.0,3.0,1.0,2.0,11.0,0.0,3.0,6.0,27.0
GH201400000245,0.0,0.0,4.0,14.0,2.0,11.0,5.0,2.0,8.0,46.0
GH201400000246,2.0,0.0,11.0,38.0,21.0,14.0,20.0,6.0,16.0,128.0
GH201400000247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
GH201400000248,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,7.0
GH201400000249,0.0,0.0,1.0,7.0,5.0,5.0,2.0,1.0,7.0,28.0
GH201400000250,1.0,0.0,8.0,39.0,10.0,15.0,23.0,11.0,25.0,132.0
GH201400000251,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,7.0
GH201400000252,0.0,0.0,3.0,26.0,8.0,4.0,17.0,5.0,7.0,70.0
GH201400000253,0.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,3.0,13.0
GH201400000254,4.0,0.0,3.0,15.0,20.0,28.0,8.0,6.0,18.0,102.0
GH201400000255,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,9.0
GH201400000256,0.0,0.0,3.0,3.0,2.0,23.0,0.0,2.0,4.0,37.0
GH201400000257,1.0,0.0,0.0,4.0,1.0,8.0,1.0,1.0,2.0,18.0
GH201400000258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
GH201400000259,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,8.0
GH201400000260,11.0,0.0,628.0,401.0,53.0,147.0,282.0,69.0,62.0,1653.0
GH201400000261,1.0,0.0,6.0,11.0,3.0,26.0,1.0,3.0,7.0,58.0
GH201400000262,2.0,3.0,1.0,5.0,4.0,2.0,3.0,1.0,4.0,25.0
GH201400000263,7.0,0.0,16.0,53.0,11.0,10.0,37.0,21.0,19.0,174.0
GH201400000264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000265,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,6.0
GH201400000267,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,6.0
GH201400000268,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,11.0
GH201400000269,0.0,0.0,0.0,3.0,1.0,9.0,2.0,2.0,2.0,19.0
GH201400000270,1.0,0.0,16.0,18.0,3.0,10.0,4.0,2.0,5.0,59.0
GH201400000271,4.0,0.0,633.0,596.0,50.0,26.0,344.0,73.0,98.0,1824.0
GH201400000272,2.0,0.0,8.0,77.0,5.0,15.0,10.0,20.0,65.0,202.0
GH201400000273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000274,0.0,0.0,8.0,14.0,3.0,1.0,8.0,5.0,4.0,43.0
GH201400000275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000276,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,5.0,13.0
GH201400000277,0.0,0.0,1.0,2.0,4.0,0.0,3.0,0.0,22.0,32.0
GH201400000278,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
GH201400000279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000281,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0
GH201400000282,2.0,0.0,15.0,22.0,16.0,15.0,30.0,11.0,22.0,133.0
GH201400000283,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,5.0
GH201400000284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
GH201400000285,0.0,0.0,0.0,4.0,1.0,1.0,3.0,2.0,2.0,13.0
GH201400000286,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0
GH201400000287,0.0,0.0,2.0,5.0,1.0,2.0,0.0,0.0,3.0,13.0
GH201400000288,0.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,4.0,13.0
GH201400000289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH201400000291,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0
GH201400000292,1.0,0.0,1.0,13.0,1.0,1.0,6.0,0.0,6.0,29.0
