DHSID,lodging_pois_count,education_pois_count,landmark_pois_count,health_pois_count,food_pois_count,entertainment_pois_count,services_pois_count,retail_pois_count,all_pois_count
ML201800000200,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
ML201800000201,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0
ML201800000202,9.0,88.0,4.0,5.0,9.0,5.0,35.0,3.0,158.0
ML201800000204,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
ML201800000205,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0
ML201800000206,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
ML201800000207,0.0,4.0,1.0,0.0,0.0,0.0,12.0,0.0,17.0
ML201800000208,3.0,12.0,5.0,1.0,2.0,3.0,7.0,0.0,33.0
ML201800000209,1.0,21.0,2.0,0.0,2.0,6.0,6.0,1.0,39.0
ML201800000210,7.0,78.0,2.0,4.0,7.0,2.0,19.0,3.0,122.0
ML201800000211,1.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0
ML201800000212,2.0,6.0,3.0,0.0,0.0,1.0,14.0,0.0,26.0
ML201800000213,0.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,10.0
ML201800000214,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0
ML201800000215,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
ML201800000216,0.0,7.0,1.0,0.0,0.0,0.0,11.0,0.0,19.0
ML201800000217,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,10.0
ML201800000218,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000219,0.0,8.0,1.0,1.0,1.0,1.0,22.0,0.0,34.0
ML201800000221,0.0,7.0,4.0,0.0,0.0,0.0,24.0,0.0,35.0
ML201800000222,0.0,5.0,0.0,0.0,0.0,0.0,16.0,0.0,21.0
ML201800000223,0.0,4.0,2.0,0.0,0.0,0.0,13.0,0.0,19.0
ML201800000224,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0
ML201800000226,4.0,8.0,6.0,2.0,0.0,7.0,5.0,1.0,33.0
ML201800000227,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
ML201800000229,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
ML201800000230,0.0,8.0,1.0,0.0,0.0,0.0,17.0,0.0,26.0
ML201800000238,0.0,5.0,0.0,0.0,0.0,0.0,22.0,0.0,27.0
ML201800000239,0.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,10.0
ML201800000243,0.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,14.0
ML201800000245,0.0,9.0,0.0,2.0,0.0,0.0,13.0,0.0,24.0
ML201800000253,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,13.0
ML201800000254,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
ML201800000255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000256,7.0,8.0,10.0,0.0,6.0,13.0,17.0,28.0,89.0
ML201800000257,8.0,33.0,11.0,3.0,10.0,23.0,24.0,32.0,144.0
ML201800000258,1.0,32.0,4.0,5.0,4.0,10.0,11.0,5.0,72.0
ML201800000259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000260,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0
ML201800000261,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
ML201800000262,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ML201800000263,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
ML201800000264,0.0,12.0,2.0,0.0,0.0,1.0,2.0,1.0,18.0
ML201800000265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000266,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000269,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0
ML201800000270,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000271,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ML201800000272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000274,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000275,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ML201800000276,0.0,5.0,6.0,2.0,2.0,1.0,1.0,1.0,18.0
ML201800000277,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000278,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
ML201800000279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000280,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
ML201800000281,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ML201800000282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ML201800000283,0.0,15.0,0.0,0.0,0.0,0.0,3.0,1.0,19.0
ML201800000284,0.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0
ML201800000285,5.0,6.0,3.0,6.0,2.0,5.0,14.0,1.0,42.0
ML201800000286,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
ML201800000288,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,9.0
ML201800000290,0.0,11.0,2.0,0.0,0.0,4.0,0.0,0.0,17.0
ML201800000291,2.0,20.0,2.0,5.0,3.0,9.0,11.0,5.0,57.0
ML201800000292,4.0,54.0,3.0,4.0,3.0,2.0,5.0,0.0,75.0
ML201800000293,7.0,67.0,5.0,8.0,6.0,9.0,15.0,5.0,122.0
ML201800000294,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ML201800000295,0.0,12.0,0.0,0.0,0.0,0.0,3.0,1.0,16.0
ML201800000296,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0
